Keyword Text,Average Monthly Searches,Competition
bakery,0,UNSPECIFIED
cake shop,0,UNSPECIFIED
bakery near me,0,UNSPECIFIED
cake shop near me,0,UNSPECIFIED
cakes near me,0,UNSPECIFIED
cupcakes near me,0,UNSPECIFIED
order cake online,0,UNSPECIFIED
birthday cake near me,0,UNSPECIFIED
corner bakery catering,0,UNSPECIFIED
publix bakery,0,UNSPECIFIED
custom cakes near me,0,UNSPECIFIED
levain cookies,0,UNSPECIFIED
publix cakes,0,UNSPECIFIED
gluten free sourdough bread,0,UNSPECIFIED
wedding cakes near me,0,UNSPECIFIED
cakes online,0,UNSPECIFIED
cake bakery near me,0,UNSPECIFIED
publix cake order,0,UNSPECIFIED
gluten free bakery near me,0,UNSPECIFIED
canyon bakehouse gluten free bread,0,UNSPECIFIED
kringle pastry,0,UNSPECIFIED
paris baguette near me,0,UNSPECIFIED
vegan cake near me,0,UNSPECIFIED
carvel ice cream cake,0,UNSPECIFIED
birthday cake online order,0,UNSPECIFIED
cake makers near me,0,UNSPECIFIED
gluten free bakery,0,UNSPECIFIED
bread co,0,UNSPECIFIED
sara lee bread,0,UNSPECIFIED
birthday cake shop near me,0,UNSPECIFIED
bread proofer,0,UNSPECIFIED
carlos bakery,0,UNSPECIFIED
best cakes near me,0,UNSPECIFIED
whole foods bakery,0,UNSPECIFIED
lavash bread,0,UNSPECIFIED
best cake shop near me,0,UNSPECIFIED
vegan bakery near me,0,UNSPECIFIED
order cake online near me,0,UNSPECIFIED
thomas english muffins,0,UNSPECIFIED
vegan treats,0,UNSPECIFIED
gluten free cakes near me,0,UNSPECIFIED
grain free bread,0,UNSPECIFIED
thomas bagels,0,UNSPECIFIED
cake order near me,0,UNSPECIFIED
bakery website,0,UNSPECIFIED
walmart birthday cakes,0,UNSPECIFIED
oroweat keto bread,0,UNSPECIFIED
the cake shop,0,UNSPECIFIED
king arthur baking company,0,UNSPECIFIED
stop and shop bakery,0,UNSPECIFIED
pastries near me,0,UNSPECIFIED
french bakery near me,0,UNSPECIFIED
gambino's king cake,0,UNSPECIFIED
best bakery near me,0,UNSPECIFIED
freedom bakery,0,UNSPECIFIED
online bakery,0,UNSPECIFIED
custom birthday cakes near me,0,UNSPECIFIED
lewis keto bread,0,UNSPECIFIED
online cakes,0,UNSPECIFIED
sara lee artesano bread,0,UNSPECIFIED
artesano bread,0,UNSPECIFIED
gluten free desserts near me,0,UNSPECIFIED
publix bakery cakes,0,UNSPECIFIED
vegan cupcakes near me,0,UNSPECIFIED
buy cake online,0,UNSPECIFIED
sugar free cake near me,0,UNSPECIFIED
meijer bakery,0,UNSPECIFIED
country harvest bread,0,UNSPECIFIED
pastry shop near me,0,UNSPECIFIED
best cupcakes near me,0,UNSPECIFIED
cake store near me,0,UNSPECIFIED
cake boss bakery,0,UNSPECIFIED
vegan desserts near me,0,UNSPECIFIED
publix bakery near me,0,UNSPECIFIED
cake places near me,0,UNSPECIFIED
sam's bakery,0,UNSPECIFIED
bundt cake store,0,UNSPECIFIED
walmart custom cakes,0,UNSPECIFIED
paul's bakery,0,UNSPECIFIED
gluten free cupcakes near me,0,UNSPECIFIED
cake box near me,0,UNSPECIFIED
walmart cupcakes,0,UNSPECIFIED
tall cake box,0,UNSPECIFIED
oh danish bakery,0,UNSPECIFIED
vegan bakery,0,UNSPECIFIED
artisan bread,0,UNSPECIFIED
healthy life keto bread,0,UNSPECIFIED
keto bakery,0,UNSPECIFIED
sara lee 45 calorie bread,0,UNSPECIFIED
cakes for birthday,0,UNSPECIFIED
bread bakery near me,0,UNSPECIFIED
french bread,0,UNSPECIFIED
italian bread,0,UNSPECIFIED
walmart bakery cakes,0,UNSPECIFIED
organic bread,0,UNSPECIFIED
hamburger buns,0,UNSPECIFIED
custom cupcakes near me,0,UNSPECIFIED
stop and shop cakes,0,UNSPECIFIED
bakeries that deliver near me,0,UNSPECIFIED
the cake craft company,0,UNSPECIFIED
magnolia cupcakes,0,UNSPECIFIED
kroger custom cakes,0,UNSPECIFIED
cocktail rye bread,0,UNSPECIFIED
panaderia near me,0,UNSPECIFIED
wholesale bakery,0,UNSPECIFIED
cake bakery,0,UNSPECIFIED
nature's bakery brownie,0,UNSPECIFIED
birthday cake bakery near me,0,UNSPECIFIED
king cake near me,0,UNSPECIFIED
bakery shop near me,0,UNSPECIFIED
home bakery,0,UNSPECIFIED
croissants,0,UNSPECIFIED
kroger bakery cakes,0,UNSPECIFIED
sam's club bakery order online,0,UNSPECIFIED
keto bakery near me,0,UNSPECIFIED
kringle danish,0,UNSPECIFIED
sourdough bread near me,0,UNSPECIFIED
nature's own bread,0,UNSPECIFIED
sara lee delightful white bread,0,UNSPECIFIED
kroger birthday cakes,0,UNSPECIFIED
mini croissants,0,UNSPECIFIED
organic sourdough bread,0,UNSPECIFIED
wedding cake bakery near me,0,UNSPECIFIED
bakery franchise,0,UNSPECIFIED
specialty cakes near me,0,UNSPECIFIED
italian bakery near me,0,UNSPECIFIED
publix bakery order,0,UNSPECIFIED
patisserie near me,0,UNSPECIFIED
vegan birthday cake near me,0,UNSPECIFIED
keto desserts near me,0,UNSPECIFIED
portos bakery,0,UNSPECIFIED
bakery box,0,UNSPECIFIED
pastries,0,UNSPECIFIED
joseph's lavash bread,0,UNSPECIFIED
sam's club cakes,0,UNSPECIFIED
dominique ansel bakery,0,UNSPECIFIED
voortman sugar free cookies,0,UNSPECIFIED
strawberry cake near me,0,UNSPECIFIED
paul cake,0,UNSPECIFIED
gluten free baked goods,0,UNSPECIFIED
low carb pita bread,0,UNSPECIFIED
whole wheat sourdough bread,0,UNSPECIFIED
publix bakery order online,0,UNSPECIFIED
sara lee honey wheat bread,0,UNSPECIFIED
tartine bread,0,UNSPECIFIED
german bread,0,UNSPECIFIED
corner bakery near me,0,UNSPECIFIED
safeway cake order,0,UNSPECIFIED
sprinkles cupcakes near me,0,UNSPECIFIED
silver hills sprouted bread,0,UNSPECIFIED
buy cake,0,UNSPECIFIED
gluten free pastries,0,UNSPECIFIED
baked goods,0,UNSPECIFIED
keto bread costco,0,UNSPECIFIED
paris baguette cakes,0,UNSPECIFIED
buy cake near me,0,UNSPECIFIED
croissants near me,0,UNSPECIFIED
buy birthday cake,0,UNSPECIFIED
sugar free bakery near me,0,UNSPECIFIED
cornerbakery,0,UNSPECIFIED
magnolias bakery,0,UNSPECIFIED
sugar free desserts near me,0,UNSPECIFIED
vons bakery,0,UNSPECIFIED
pauls bakery,0,UNSPECIFIED
eggless cake shop,0,UNSPECIFIED
french pastries,0,UNSPECIFIED
gluten free bagels near me,0,UNSPECIFIED
gourmet cupcakes near me,0,UNSPECIFIED
cake boss cakes,0,UNSPECIFIED
pastry box,0,UNSPECIFIED
bundt cake bakery,0,UNSPECIFIED
sweeties bakery,0,UNSPECIFIED
near by cake shop,0,UNSPECIFIED
nearest bakery,0,UNSPECIFIED
bread near me,0,UNSPECIFIED
walmart bakery order online,0,UNSPECIFIED
muffins near me,0,UNSPECIFIED
cookie bakery near me,0,UNSPECIFIED
bakery for sale,0,UNSPECIFIED
whole grain sourdough bread,0,UNSPECIFIED
oh bakery,0,UNSPECIFIED
bread baker,0,UNSPECIFIED
local bakery near me,0,UNSPECIFIED
the cake company,0,UNSPECIFIED
wegmans bakery order,0,UNSPECIFIED
keto bread near me,0,UNSPECIFIED
bread rolls,0,UNSPECIFIED
bundt cake shop,0,UNSPECIFIED
best sourdough bread,0,UNSPECIFIED
central market bakery,0,UNSPECIFIED
italian bakery,0,UNSPECIFIED
hawaiian keto bread,0,UNSPECIFIED
milkbar cake,0,UNSPECIFIED
bakery shop,0,UNSPECIFIED
safeway cake,0,UNSPECIFIED
king soopers bakery,0,UNSPECIFIED
franz keto bread,0,UNSPECIFIED
647 bread near me,0,UNSPECIFIED
whole foods bakery cakes,0,UNSPECIFIED
spelt sourdough bread,0,UNSPECIFIED
cakery,0,UNSPECIFIED
birthday cake makers near me,0,UNSPECIFIED
haagen dazs ice cream cake,0,UNSPECIFIED
giant bakery,0,UNSPECIFIED
nearby cake shop,0,UNSPECIFIED
cuban bakery near me,0,UNSPECIFIED
nature bakery,0,UNSPECIFIED
meijer cakes,0,UNSPECIFIED
mr baker cake,0,UNSPECIFIED
keto cake near me,0,UNSPECIFIED
publix custom cakes,0,UNSPECIFIED
danish bakery,0,UNSPECIFIED
crumbs cupcakes,0,UNSPECIFIED
encanto birthday cake,0,UNSPECIFIED
cupcake bakery near me,0,UNSPECIFIED
cake decorators near me,0,UNSPECIFIED
babka bread,0,UNSPECIFIED
occasions cake shop,0,UNSPECIFIED
gender reveal cakes near me,0,UNSPECIFIED
italian pastries,0,UNSPECIFIED
wegmans custom cakes,0,UNSPECIFIED
walmart cakes order,0,UNSPECIFIED
celebration cakes near me,0,UNSPECIFIED
paczki near me,0,UNSPECIFIED
strawberry emulsion,0,UNSPECIFIED
cup cake box,0,UNSPECIFIED
jewish bakery near me,0,UNSPECIFIED
cake designers near me,0,UNSPECIFIED
birthday cake online order near me,0,UNSPECIFIED
fresh bread bakery near me,0,UNSPECIFIED
specialty cakes,0,UNSPECIFIED
coffee cake near me,0,UNSPECIFIED
online cake shop,0,UNSPECIFIED
paul patisserie,0,UNSPECIFIED
unicorn cake near me,0,UNSPECIFIED
order cookie cake,0,UNSPECIFIED
gluten free birthday cake near me,0,UNSPECIFIED
local bakery,0,UNSPECIFIED
buy birthday cake near me,0,UNSPECIFIED
d italiano bread,0,UNSPECIFIED
wedding cake makers near me,0,UNSPECIFIED
fred meyer bakery,0,UNSPECIFIED
fresh bread near me,0,UNSPECIFIED
aldi sourdough bread,0,UNSPECIFIED
the cake decorating co,0,UNSPECIFIED
bakers kitchen,0,UNSPECIFIED
buy birthday cake online,0,UNSPECIFIED
levain bakery cookies,0,UNSPECIFIED
custom made birthday cakes near me,0,UNSPECIFIED
soy free bread,0,UNSPECIFIED
mexican bakery near me,0,UNSPECIFIED
cake craft shop,0,UNSPECIFIED
aunt millie's low carb bread,0,UNSPECIFIED
best birthday cake near me,0,UNSPECIFIED
100 whole wheat bread,0,UNSPECIFIED
dairy free cakes near me,0,UNSPECIFIED
custom made cakes near me,0,UNSPECIFIED
transparent cake box,0,UNSPECIFIED
birthday cake shop,0,UNSPECIFIED
bake my day,0,UNSPECIFIED
pasteleria near me,0,UNSPECIFIED
food lion bakery,0,UNSPECIFIED
puff pastry near me,0,UNSPECIFIED
jewel bakery,0,UNSPECIFIED
melissa bakery,0,UNSPECIFIED
crumbs bakery,0,UNSPECIFIED
baking store,0,UNSPECIFIED
coles bread,0,UNSPECIFIED
tastykake pies,0,UNSPECIFIED
thin bread,0,UNSPECIFIED
stonefire naan bread,0,UNSPECIFIED
naan bread near me,0,UNSPECIFIED
magnolia bakery near me,0,UNSPECIFIED
sweet laurel bakery,0,UNSPECIFIED
sam's club bakery order,0,UNSPECIFIED
irish soda bread near me,0,UNSPECIFIED
bakers delight near me,0,UNSPECIFIED
brownberry bread,0,UNSPECIFIED
keto culture bread,0,UNSPECIFIED
baking shop,0,UNSPECIFIED
safeway bakery order,0,UNSPECIFIED
entenmann's crumb cake,0,UNSPECIFIED
45 calorie bread,0,UNSPECIFIED
boulangerie near me,0,UNSPECIFIED
cake places,0,UNSPECIFIED
kroger bakery cake order,0,UNSPECIFIED
sugar free cupcakes near me,0,UNSPECIFIED
bakery cakes,0,UNSPECIFIED
vegan pastries,0,UNSPECIFIED
fruit cake for sale,0,UNSPECIFIED
pepperidge farm cakes,0,UNSPECIFIED
sam's club bakery cakes,0,UNSPECIFIED
portos near me,0,UNSPECIFIED
ralphs bakery,0,UNSPECIFIED
dark rye bread,0,UNSPECIFIED
carlo's bake shop,0,UNSPECIFIED
porto bakery,0,UNSPECIFIED
whole foods bakery order,0,UNSPECIFIED
heb cake order,0,UNSPECIFIED
mini pita bread,0,UNSPECIFIED
mia bakery,0,UNSPECIFIED
cupcake cakes near me,0,UNSPECIFIED
harris teeter cakes,0,UNSPECIFIED
krogers bakery,0,UNSPECIFIED
fresh market bakery,0,UNSPECIFIED
cheap birthday cakes,0,UNSPECIFIED
buy cupcakes,0,UNSPECIFIED
local cake makers,0,UNSPECIFIED
gluten free pastries near me,0,UNSPECIFIED
wegmans bakery cakes,0,UNSPECIFIED
uprising bread,0,UNSPECIFIED
danish rye bread,0,UNSPECIFIED
walmart bakery order,0,UNSPECIFIED
strawberry hill baking company,0,UNSPECIFIED
sourdough bread bowl,0,UNSPECIFIED
shatila baklava,0,UNSPECIFIED
tatte order online,0,UNSPECIFIED
walmart cupcakes order,0,UNSPECIFIED
dominique ansel,0,UNSPECIFIED
nut free bakery near me,0,UNSPECIFIED
cake box cake,0,UNSPECIFIED
art bakery,0,UNSPECIFIED
best cake bakery near me,0,UNSPECIFIED
halal cake shop near me,0,UNSPECIFIED
tom thumb bakery,0,UNSPECIFIED
carlos bake shop,0,UNSPECIFIED
entenmann's pound cake,0,UNSPECIFIED
online bakery order,0,UNSPECIFIED
stop and shop cake order,0,UNSPECIFIED
good cakes near me,0,UNSPECIFIED
cupcake bakery,0,UNSPECIFIED
little debbie valentine cakes,0,UNSPECIFIED
cinnaholic near me,0,UNSPECIFIED
salt rising bread,0,UNSPECIFIED
sourdough rye bread,0,UNSPECIFIED
kobo bakery,0,UNSPECIFIED
baking store near me,0,UNSPECIFIED
kroger bakery custom cakes,0,UNSPECIFIED
mini pastries,0,UNSPECIFIED
strawberry hill bakery,0,UNSPECIFIED
vegan baked goods,0,UNSPECIFIED
sourdough bread company,0,UNSPECIFIED
birthday cup cakes,0,UNSPECIFIED
slice cake,0,UNSPECIFIED
best pastries near me,0,UNSPECIFIED
german rye bread,0,UNSPECIFIED
portos cakes,0,UNSPECIFIED
carvel ice cream cake near me,0,UNSPECIFIED
publix bread,0,UNSPECIFIED
babka near me,0,UNSPECIFIED
bakery cookies,0,UNSPECIFIED
cranberry walnut bread,0,UNSPECIFIED
halal cake shop,0,UNSPECIFIED
golden bakery,0,UNSPECIFIED
spongebob birthday cake,0,UNSPECIFIED
schnucks bakery,0,UNSPECIFIED
custom cake bakery near me,0,UNSPECIFIED
cupcake places near me,0,UNSPECIFIED
walmart bakery cake order,0,UNSPECIFIED
sara lee pound cake,0,UNSPECIFIED
just bake online order,0,UNSPECIFIED
cake decorating shop,0,UNSPECIFIED
harris teeter bakery,0,UNSPECIFIED
baguette bread,0,UNSPECIFIED
bundt cake store near me,0,UNSPECIFIED
stop & shop bakery,0,UNSPECIFIED
online cupcake order,0,UNSPECIFIED
cao bakery,0,UNSPECIFIED
artisan bakery,0,UNSPECIFIED
meijer bakery cakes,0,UNSPECIFIED
cakes and bakes near me,0,UNSPECIFIED
eggless cake shop near me,0,UNSPECIFIED
friendly's ice cream cake,0,UNSPECIFIED
fresh baked cookies near me,0,UNSPECIFIED
cheesecake factory brown bread,0,UNSPECIFIED
entenmann's chocolate cake,0,UNSPECIFIED
sprouted wheat bread,0,UNSPECIFIED
vons cakes,0,UNSPECIFIED
kroger bakery order,0,UNSPECIFIED
ukrops cakes,0,UNSPECIFIED
buddys bakery,0,UNSPECIFIED
french baguette near me,0,UNSPECIFIED
cocktail rye bread near me,0,UNSPECIFIED
german bakery near me,0,UNSPECIFIED
gender reveal cake near me,0,UNSPECIFIED
german chocolate cake mix,0,UNSPECIFIED
voortman wafers,0,UNSPECIFIED
magnolia bakery cake,0,UNSPECIFIED
nut free bakery,0,UNSPECIFIED
hoagie bread,0,UNSPECIFIED
sweet bakery,0,UNSPECIFIED
collins bakery fruit cake,0,UNSPECIFIED
target bakery,0,UNSPECIFIED
boudin sourdough,0,UNSPECIFIED
cannoli cake near me,0,UNSPECIFIED
sam's bakery cakes,0,UNSPECIFIED
baker brew,0,UNSPECIFIED
sam's club custom cakes,0,UNSPECIFIED
closest bakery,0,UNSPECIFIED
confetti birthday cake,0,UNSPECIFIED
cake stores,0,UNSPECIFIED
gender reveal cupcakes near me,0,UNSPECIFIED
strossner's,0,UNSPECIFIED
good bakery near me,0,UNSPECIFIED
nearby bakery,0,UNSPECIFIED
betty crocker vanilla cake mix,0,UNSPECIFIED
joseph's pita bread,0,UNSPECIFIED
vons bakery cakes,0,UNSPECIFIED
marble rye bread,0,UNSPECIFIED
dairy free desserts near me,0,UNSPECIFIED
walmart bakery birthday cakes,0,UNSPECIFIED
best cake shop,0,UNSPECIFIED
chinese bakery near me,0,UNSPECIFIED
st pierre brioche,0,UNSPECIFIED
bread co near me,0,UNSPECIFIED
buy cupcakes online,0,UNSPECIFIED
sweet bread,0,UNSPECIFIED
little debbie birthday cake,0,UNSPECIFIED
chantilly cake near me,0,UNSPECIFIED
roma bakery,0,UNSPECIFIED
pastry shop,0,UNSPECIFIED
strossner's bakery,0,UNSPECIFIED
custom bakery near me,0,UNSPECIFIED
cuban bread,0,UNSPECIFIED
little debbie strawberry shortcake,0,UNSPECIFIED
vegan pastries near me,0,UNSPECIFIED
levain chocolate chip cookies,0,UNSPECIFIED
walmart custom cake order,0,UNSPECIFIED
safeway bakery cakes,0,UNSPECIFIED
little debbie chocolate cakes,0,UNSPECIFIED
custom cake shop near me,0,UNSPECIFIED
home bakers near me,0,UNSPECIFIED
little debbie chocolate chip cakes,0,UNSPECIFIED
hannaford bakery,0,UNSPECIFIED
toufayan wraps,0,UNSPECIFIED
porto's order online,0,UNSPECIFIED
lewis bread,0,UNSPECIFIED
cuban bread near me,0,UNSPECIFIED
rimini bakery,0,UNSPECIFIED
cakes near me bakery,0,UNSPECIFIED
sugar bowl bakery madeleines,0,UNSPECIFIED
cocomelon cupcakes,0,UNSPECIFIED
ancient grains bread,0,UNSPECIFIED
bakehouse,0,UNSPECIFIED
yava bakery,0,UNSPECIFIED
buy cake pops,0,UNSPECIFIED
12 grain bread,0,UNSPECIFIED
halloween baked goods,0,UNSPECIFIED
keewah,0,UNSPECIFIED
french bread near me,0,UNSPECIFIED
cupcake store near me,0,UNSPECIFIED
fresh bread,0,UNSPECIFIED
jewish rye bread,0,UNSPECIFIED
wedding cake bakery,0,UNSPECIFIED
cake shop website,0,UNSPECIFIED
bakery near me now,0,UNSPECIFIED
cakes around me,0,UNSPECIFIED
korean bakery near me,0,UNSPECIFIED
a 1 bakery,0,UNSPECIFIED
hostess zingers,0,UNSPECIFIED
village bakery,0,UNSPECIFIED
bread shop near me,0,UNSPECIFIED
little debbie donut sticks,0,UNSPECIFIED
veg cake shop near me,0,UNSPECIFIED
vegan cake shop,0,UNSPECIFIED
safeway custom cakes,0,UNSPECIFIED
brioche hamburger buns,0,UNSPECIFIED
publix ice cream cakes,0,UNSPECIFIED
san martin bakery,0,UNSPECIFIED
baked goods near me,0,UNSPECIFIED
san luis sourdough bread,0,UNSPECIFIED
betty crocker red velvet cake mix,0,UNSPECIFIED
asian bakery near me,0,UNSPECIFIED
best birthday cake shop near me,0,UNSPECIFIED
little debbie swiss rolls,0,UNSPECIFIED
cake decorating store,0,UNSPECIFIED
dessert bakery near me,0,UNSPECIFIED
killer dave's bread,0,UNSPECIFIED
dairy free bakery near me,0,UNSPECIFIED
stop and shop birthday cakes,0,UNSPECIFIED
heb bakery cakes,0,UNSPECIFIED
lafayette bakery,0,UNSPECIFIED
favorite day bakery,0,UNSPECIFIED
martin's bread,0,UNSPECIFIED
bimbos bakery,0,UNSPECIFIED
meijer bakery cake order,0,UNSPECIFIED
porto's bake at home,0,UNSPECIFIED
arabic bread,0,UNSPECIFIED
giant bakery cakes,0,UNSPECIFIED
online order cake near me,0,UNSPECIFIED
bakery around me,0,UNSPECIFIED
artisan bread near me,0,UNSPECIFIED
coop bakery,0,UNSPECIFIED
wedding bakery near me,0,UNSPECIFIED
cookie bakery,0,UNSPECIFIED
new cakes,0,UNSPECIFIED
cake bake shop,0,UNSPECIFIED
cupcake shops near me,0,UNSPECIFIED
publix bakery birthday cakes,0,UNSPECIFIED
la madeleine bakery,0,UNSPECIFIED
good cake shop near me,0,UNSPECIFIED
heb birthday cakes,0,UNSPECIFIED
angelina bakery,0,UNSPECIFIED
online cake shop near me,0,UNSPECIFIED
jewish bakery,0,UNSPECIFIED
carlo's bakery near me,0,UNSPECIFIED
vegan cake shop near me,0,UNSPECIFIED
french pastries near me,0,UNSPECIFIED
near by bakery,0,UNSPECIFIED
chia te,0,UNSPECIFIED
spiderman ice cream cake,0,UNSPECIFIED
